,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,2025-09-30 11:59:48.561000,0.0,0.1121,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         
   
       }
   }"
1,2,2025-09-30 11:59:58.571000,0.0,0.0966,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int num
   
       }
   }"
2,3,2025-09-30 12:00:03.576000,0.0,0.0982,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numCa
   
       }
   }"
3,4,2025-09-30 12:00:08.582000,0.0,0.1032,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons
   
       }
   }"
4,5,2025-09-30 12:00:18.603000,0.0053108267387032,0.0995,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesP
   
       }
   }"
5,6,2025-09-30 12:00:23.616000,0.0,0.1337,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int n
   
       }
   }"
6,7,2025-09-30 12:00:28.627000,0.11258490733758109,0.1783,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         
   
       }
   }"
7,8,2025-09-30 12:01:33.746000,0.1787323181613809,0.2157,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         pu
   
       }
   }"
8,9,2025-09-30 12:01:38.747000,0.0,0.1302,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         public void Calc
   
       }
   }"
9,10,2025-09-30 12:01:43.760000,0.0,0.1488,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         public void CalcGallons
   
       }
   }"
10,11,2025-09-30 12:01:53.775000,0.0,0.2025,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         public int CalcGallons(){
           
         }
   
       }
   }"
11,12,2025-09-30 12:02:28.843000,0.0,0.2307,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         public int CalcGallons(){
           r
         }
   
       }
   }"
12,13,2025-09-30 12:02:33.848000,0.0,0.2044,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         public int CalcGallons(){
           return
         }
   
       }
   }"
13,14,2025-09-30 12:02:38.853000,0.0,0.2029,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
         public int CalcGallons(){
           return 
         }
   
       }
   }"
14,15,2025-09-30 12:03:13.902000,0.09393782815135554,0.169,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons;
         int milesPerGallon;
         int miles;
   
       }
   }"
15,16,2025-09-30 12:03:18.910000,0.15650838906824538,0.2,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons = 2
         int milesPerGallon;
         int miles;
   
       }
   }"
16,17,2025-09-30 12:03:23.926000,0.20349216105668422,0.2233,,"
   public class Test1
   {
       public static void main(String[] args)
       {
           // Your code should declare the variables
           //  numGallons, milesPerGallon, and miles, and
           // calculate numGallons (the number of gallons left in the tank given the values above),
           // initialize milesPerGallon (the miles per gallon given above for this car),
           // calculate miles (the number of miles you can drive calculated from the other variables)
           // and print out miles.
   
         int numGallons = 2.5;
         int milesPerGallon;
         int miles;
   
       }
   }"
