,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0008,, 
1,2,2019-10-01 15:06:38,0.7027655406111788,0.6573,TypeError: can't multiply sequence by non-int of type 'str' on line 3,"# Your function goes here
def printsquare(N,S):
    line= 2*N*S
    return line








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
2,3,2019-10-01 15:10:42,0.7556057984307901,0.6916,TypeError: can't multiply sequence by non-int of type 'str' on line 3,"# Your function goes here
def printsquare(N,S):
    line=int( 2*N*S)
    return line








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
3,4,2019-10-01 15:11:17,0.7517942306144738,0.6964,SyntaxError: bad input on line 2,"# Your function goes here
def printsquare int(N,S):
    line=( 2*N*S)
    return line








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
4,5,2019-10-01 15:11:44,0.7386639445287295,0.6786,TypeError: can't multiply sequence by non-int of type 'str' on line 3,"# Your function goes here
def printsquare (N,S):
    line=( 2*N*S)
    return line








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
5,6,2019-10-01 15:12:40,0.8025241624384517,0.7145,TypeError: can't multiply sequence by non-int of type 'str' on line 3,"# Your function goes here
def printsquare (N,S):
    line=( 2*N*S)
    print(line)
    return line
    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
6,7,2019-10-01 15:12:57,0.7706397540701113,0.6803,TypeError: can't multiply sequence by non-int of type 'str' on line 3,"# Your function goes here
def printsquare (N,S):
    line=(N*S)
    print(line)
    return line
    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
7,8,2019-10-01 15:14:38,0.7207362203215358,0.6754,SyntaxError: bad input on line 4,"# Your function goes here
def printsquare (N,S):
    x = int(N*S)
      return x
    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
8,9,2019-10-01 15:18:49,0.892100007730637,0.7799,SyntaxError: bad input on line 4,"# Your function goes here
def printsquare (N,S):
    x = int(N*S)
      return x
    print(x)
myx = printsquare(2*N*S)
    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
9,10,2019-10-01 15:19:00,0.892100007730637,0.7799,NameError: name 'N' is not defined on line 6,"# Your function goes here
def printsquare (N,S):
    x = int(N*S)
    return x
    print(x)
myx = printsquare(2*N*S)
    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
10,11,2019-10-01 15:19:18,0.892100007730637,0.7799,NameError: name 'N' is not defined on line 7,"# Your function goes here
def printsquare (N,S):
    x = int(N*S)
    return x
    print(x)

myx = printsquare(2*N*S)
    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
11,12,2019-10-01 15:19:46,0.7878664064017757,0.7169,TypeError: can't multiply sequence by non-int of type 'str' on line 3,"# Your function goes here
def printsquare (N,S):
    x = int(N*S)
    return x
    print(x)

    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
12,13,2019-10-01 15:21:38,0.8157170290890123,0.7388,SyntaxError: bad input on line 3,"# Your function goes here
def printsquare (N,S):
    x = int 2*(N*S)
    return x
    print(x)

    








# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
