,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0004,, 
1,2,2019-10-01 15:06:16,0.6538822783206713,0.6179,NameError: name 'printsquare' is not defined on line 14,"for i in range(6):
	print(12*'*') 







# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
"
2,3,2019-10-01 15:09:11,0.7076333600953708,0.6804,SyntaxError: bad input on line 6,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
    for i in range(N):
	return ((2*N)*S) 

print(printsquare) 
"
3,4,2019-10-01 15:11:52,0.6816103150288286,0.6542,SyntaxError: bad input on line 6,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
	return ((2*N)*S) 

print(printsquare) 
"
4,5,2019-10-01 15:12:20,0.689825787635752,0.652,SyntaxError: bad input on line 6,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
    x = ((2*N)*S) 
	return x

print(printsquare) 
"
5,6,2019-10-01 15:14:08,0.7079446615704823,0.6673,SyntaxError: bad input on line 6,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
    for i in range(N)
    x = ((2*N)*S) 
	return x

print(printsquare(N,S)) 
"
6,7,2019-10-01 15:14:30,0.7123312448425287,0.6682,SyntaxError: bad input on line 5,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S):
    for i in range(N)
    x = ((2*N)*S) 
	return x

print(printsquare(N,S)) 
"
7,8,2019-10-01 15:15:26,0.6937114889441769,0.6514,SyntaxError: bad input on line 6,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
    x = ((2*N)*S) 
	return x

print(printsquare(N,S)) 
"
8,9,2019-10-01 15:15:57,0.6853546688976367,0.6561,SyntaxError: bad input on line 5,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
def printsquare(N,S)
    x = ((2*N)*S) 
	return x

print(printsquare(N,S)) 
"
9,10,2019-10-01 15:16:13,0.6999916808858999,0.6748,SyntaxError: bad input on line 5,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
def printsquare(N,S)
    for i in range(N)
    x = ((2*N)*S) 
	return x

print(printsquare(N,S)) 
"
10,11,2019-10-01 15:17:34,0.6801758689386422,0.6725,SyntaxError: bad input on line 5,"# Leave the following lines as they are

N = input(""Enter N: "")
S = input(""Enter S: "")
def printsquare(N,S)
    for i in range(N)
    print((2*N)*S) 
	 
"
11,12,2019-10-01 15:20:12,0.7714099564717807,0.7348,SyntaxError: bad input on line 2,"# Leave the following lines as they are
def square(N,S)
    for i in range(N)
    x = ((2*N)*S) 
	return x
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
12,13,2019-10-01 15:20:25,0.7740995486894943,0.7468,SyntaxError: bad input on line 3,"# Leave the following lines as they are
def square(N,S):
    for i in range(N)
    x = ((2*N)*S) 
	return x
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
13,14,2019-10-01 15:20:31,0.7515730978915207,0.7348,SyntaxError: bad input on line 4,"# Leave the following lines as they are
def square(N,S):
    x = ((2*N)*S) 
	return x
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
14,15,2019-10-01 15:20:50,0.7758469301257989,0.7453,SyntaxError: bad input on line 4,"# Leave the following lines as they are
def square(N,S):
    x = ((2*N)*S) 
	return x
N = int(input(""Enter N: ""))
S = int(input(""Enter S: ""))
printsquare(N,S)
  "
15,16,2019-10-01 15:21:19,0.7515730978915207,0.7348,SyntaxError: bad input on line 4,"# Leave the following lines as they are
def square(N,S):
    x = ((2*N)*S) 
	return x
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
16,17,2019-10-01 15:22:21,0.7740995486894943,0.7468,SyntaxError: bad input on line 3,"# Leave the following lines as they are
def square(N,S):
    for i in range(N)
    x = ((2*N)*S) 
	return x
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
17,18,2019-10-01 15:22:30,0.7667680427820591,0.7529,NameError: name 'printsquare' is not defined on line 8,"# Leave the following lines as they are
def square(N,S):
    for i in range(N):
        x = ((2*N)*S) 
	return x
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
18,19,2019-10-01 15:22:50,0.7038476537137135,0.7343,TypeError: start must be a integer on line 3,"# Leave the following lines as they are
def square(N,S):
    for i in range(N):
        x = ((2*N)*S) 
	return x
N = input(""Enter N: "")
S = input(""Enter S: "")
print(square(N,S))
  "
19,20,2019-10-01 15:24:42,0.8763763806115402,0.8452,SyntaxError: bad input on line 5,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N):
        x = ((2*N)*S) 
	print x
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
20,21,2019-10-01 15:24:49,0.8791202051110606,0.8433,TypeError: start must be a integer on line 3,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N):
        x = ((2*N)*S) 
	print (x)
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
21,22,2019-10-01 15:25:06,0.8923358094821521,0.867,success,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N):
        x = ((2*N)*S) 
	print (x)
N = int(input(""Enter N: ""))
S = input(""Enter S: "")
printsquare(N,S)
  "
22,23,2019-10-01 15:28:14,0.9006845943529332,0.8959,TypeError: start must be a integer on line 3,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N):
        x = ((2*int(N))*S) 
	print (x)
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
23,24,2019-10-01 15:28:37,0.9004090278814777,0.9015,TypeError: start must be a integer on line 3,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N):
        x = (2*int(N))*S
	print (x)
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
24,25,2019-10-01 15:28:52,0.8934492419719833,0.9008,TypeError: start must be a integer on line 3,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N):
        x = (2*(int(N)))*S
	print (x)
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
25,26,2019-10-01 15:29:24,0.9337934713092971,0.8927,TypeError: start must be a integer on line 3,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N):
        N = int(N)
        x = (2*N)*S 
	print (x)
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
26,27,2019-10-01 15:29:47,0.8895539385653233,0.8484,TypeError: start must be a integer on line 3,"# Leave the following lines as they are
def printsquare(N,S):
    for i in range(N): 
        x = (2*N)*S 
	print (x)
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
27,28,2019-10-01 15:30:01,1.0,0.9315,success,"# Leave the following lines as they are
def printsquare(N,S):
    N = int(N)
    for i in range(N): 
        x = (2*N)*S 
	print (x)
N = input(""Enter N: "")
S = input(""Enter S: "")
printsquare(N,S)
  "
