,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0,, 
1,2,2020-02-07 14:48:49,0.6919169596068508,0.8582,SyntaxError: bad input on line 5,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
def fiveStar()
    for c in range(1,5)
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar()
"
2,3,2020-02-07 14:50:21,0.6972257110921014,0.8555,success,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
def fiveStar():
    for c in range(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar()
"
3,4,2020-02-07 14:50:41,0.7086896501639242,0.8608,success,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.goto(-200,0)
def fiveStar():
    for c in range(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar()
"
4,5,2020-02-07 14:51:06,0.7131609109735579,0.8762,success,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-200,0)
bob.pendown()
def fiveStar():
    for c in range(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar()
"
5,6,2020-02-07 14:51:16,0.7097853652373166,0.8854,TypeError: fiveStar() takes exactly 0 arguments (1 given) on line 18,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-200,0)
bob.pendown()
def fiveStar():
    for c in range(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(5)
"
6,7,2020-02-07 14:51:22,0.6503410537270449,0.8441,success,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-200,0)
bob.pendown()
def fiveStar(d):
    for c in range(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(5)
"
7,8,2020-02-07 14:51:47,0.6765976076696254,0.8858,TypeError: fiveStar() takes exactly 0 arguments (1 given) on line 18,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-200,0)
bob.pendown()
def fiveStar():
    for c in fiveStar(d):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(5)
"
8,9,2020-02-07 14:51:52,0.6481615953617952,0.8508,ExternalError: RangeError: Maximum call stack size exceeded on line 9,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-200,0)
bob.pendown()
def fiveStar(d):
    for c in fiveStar(d):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(5)
"
9,10,2020-02-07 14:52:03,0.6465900851707823,0.8483,ExternalError: RangeError: Maximum call stack size exceeded on line 9,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-100,0)
bob.pendown()
def fiveStar(d):
    for c in fiveStar(d):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(5)
"
10,11,2020-02-07 14:52:56,0.6180706350310874,0.8245,ExternalError: RangeError: Maximum call stack size exceeded on line 9,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-100,0)
bob.pendown()
def fiveStar(d,e):
    for c in fiveStar(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(1,5)
"
11,12,2020-02-07 14:53:28,0.7149976864789955,0.8843,SyntaxError: bad input on line 9,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-100,0)
bob.pendown()
fiveStar = str(fiveStar)
    for c in fiveStar(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(1,5)
"
12,13,2020-02-07 14:53:34,0.7315617933796804,0.8979,SyntaxError: bad input on line 9,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-100,0)
bob.pendown()
fiveStar = int(fiveStar)
    for c in fiveStar(1,5):
        def drawStar(a,b):
            for i in range(1,6):
              bob.forward(a)
              bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(1,5)
"
13,14,2020-02-07 14:54:19,0.7045411944554298,0.8767,NameError: name 'fiveStar' is not defined on line 8,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-100,0)
bob.pendown()
for c in fiveStar(1,5):
    def drawStar(a,b):
        for i in range(1,6):
           bob.forward(a)
           bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)
fiveStar(1,5)
"
14,15,2020-02-07 14:54:33,0.8534719406056136,0.8487,SyntaxError: bad input on line 8,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-100,0)
bob.pendown()
    def drawStar(a,b):
        for i in range(1,6):
           bob.forward(a)
           bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)

"
15,16,2020-02-07 14:54:43,0.846150478132689,0.8496,success,"import turtle 
wn = turtle.Screen()
bob = turtle.Turtle()
bob.speed(5)
bob.penup()
bob.goto(-100,0)
bob.pendown()
def drawStar(a,b):
    for i in range(1,6):
           bob.forward(a)
           bob.left(b)
    drawStar(100,216)
    bob.penup()
    bob.forward(350)
    bob.right(144)

"
