,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0036,, 
1,2,2019-10-17 16:31:04,0.4017807556895763,0.4109,SyntaxError: bad input on line 7,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        
    "
2,3,2019-10-17 17:05:38,0.485373783526456,0.4791,success,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        if l == ""T"":
            count = count + 1
        if l == ""e"":
            count = count + 1
        if l == ""x"":
            count = count + 1
        if l == ""a"":
            count = count + 1
        if l == ""s"":
            count = count + 1
    return l 
        
    "
3,4,2019-10-17 17:09:31,0.6614912539484997,0.482,TimeLimitError: Program exceeded run time limit. on line undefined,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        if l == ""T"":
            count = count + 1
        if l == ""e"":
            count = count + 1
        if l == ""x"":
            count = count + 1
        if l == ""a"":
            count = count + 1
        if l == ""s"":
            count = count + 1
    return l 
word = True 
while word:
    mystring = input(""Enter a word"")
    if mystring !="""":
        print(CommonLetters(mystring))
    else:
        word = False 
        
    "
4,5,2019-10-17 17:11:47,0.6650621786862202,0.4842,success,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        if l == ""T"":
            count = count + 1
        if l == ""e"":
            count = count + 1
        if l == ""x"":
            count = count + 1
        if l == ""a"":
            count = count + 1
        if l == ""s"":
            count = count + 1
    return l 
word = True 
while word:
    mystring = input(""Enter a word"")
    if mystring!="""":
        print(CommonLetters(mystring))
    else:
        word = False 
        
    "
5,6,2019-10-17 17:13:29,0.6620968585451625,0.4848,SyntaxError: bad input on line 5,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        elif l == ""T"":
            count = count + 1
        elif l == ""e"":
            count = count + 1
        elif l == ""x"":
            count = count + 1
        elif l == ""a"":
            count = count + 1
        elif l == ""s"":
            count = count + 1
    return l 
word = True 
while word:
    mystring = input(""Enter a word"")
    if mystring!="""":
        print(CommonLetters(mystring))
    else:
        word = False 
        
    "
6,7,2019-10-17 17:13:38,0.667900980502554,0.4871,SyntaxError: bad input on line 5,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        elif l == ""T""
            count = count + 1
        elif l == ""e"":
            count = count + 1
        elif l == ""x"":
            count = count + 1
        elif l == ""a"":
            count = count + 1
        elif l == ""s"":
            count = count + 1
    return l 
word = True 
while word:
    mystring = input(""Enter a word"")
    if mystring!="""":
        print(CommonLetters(mystring))
    else:
        word = False 
        
    "
7,8,2019-10-17 17:16:40,0.6659949925012318,0.4852,success,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        if l == ""T"":
            count = count + 1
        elif l == ""e"":
            count = count + 1
        elif l == ""x"":
            count = count + 1
        elif l == ""a"":
            count = count + 1
        elif l == ""s"":
            count = count + 1
    return l 
word = True 
while word:
    mystring = input(""Enter a word"")
    if mystring!="""":
        print(CommonLetters(mystring))
    else:
        word = False 
        
    "
8,9,2019-10-17 17:22:53,0.6659949925012318,0.4852,success,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        if l == ""T"":
            count = count + 1
        elif l == ""e"":
            count = count + 1
        elif l == ""x"":
            count = count + 1
        elif l == ""a"":
            count = count + 1
        elif l == ""s"":
            count = count + 1
    return l 

word = True 

while word:
    
    mystring = input(""Enter a word"")
    if mystring!="""":
        print(CommonLetters(mystring))
    else:
        word = False 
        
    "
9,10,2019-10-17 17:24:29,0.6657134046698598,0.4788,success,"#Your code goes here
def CommonLetters(mystring):
    count = 0
    for l in (mystring):
        if l == ""T"":
            count = count + 1
        elif l == ""e"":
            count = count + 1
        elif l == ""x"":
            count = count + 1
        elif l == ""a"":
            count = count + 1
        elif l == ""s"":
            count = count + 1
    return l 

word = True 

while word:
    
    mystring = input(""Enter a word"")
    if mystring!="""":
        print(CommonLetters(mystring))
    else:
        word = False;
        
    "
10,11,2019-10-17 17:26:53,0.4990607737871514,0.4414,success,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l == 'P': 
            count = count + 1 
        elif l=='y': 
            count = count + 1 
        elif l=='t': 
            count = count + 1 
        elif l=='h': 
            count = count + 1 
        elif l=='o': 
            count = count + 1 
        elif l=='n': 
            count = count + 1 
    return count 
  

flag=True

while flag:

    mystring=input(""Enter String : "")
    if mystring!="""" : 
        print(mystring)
        print(""Number of letters : "",CommonLetters(mystring))
    else:
        flag=False; 
        
    "
11,12,2019-10-17 17:27:18,0.5757357771123814,0.4866,success,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l == 'T': 
            count = count + 1 
        elif l=='e': 
            count = count + 1 
        elif l=='x': 
            count = count + 1 
        elif l=='a': 
            count = count + 1 
        elif l=='s': 
            count = count + 1 
    return count 
  

flag=True

while flag:

    mystring=input(""Enter String : "")
    if mystring!="""" : 
        print(mystring)
        print(""Number of letters : "",CommonLetters(mystring))
    else:
        flag=False; 
        
    "
12,13,2019-10-17 17:27:49,0.598945352607682,0.5004,success,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l == 'T': 
            count = count + 1 
        elif l=='e': 
            count = count + 1 
        elif l=='x': 
            count = count + 1 
        elif l=='a': 
            count = count + 1 
        elif l=='s': 
            count = count + 1 
    return count 
  

flag=True

while flag:

    mystring=input(""Enter String : "")
    if mystring!="""" : 
        print(mystring)
        print(CommonLetters(mystring))
    else:
        flag=False; 
        
    "
13,14,2019-10-17 17:37:17,0.49949637461191965,0.72,NameError: name 'mystring' is not defined on line 12,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count

x = True
while (x):
    y = input(""Enter String"")
    if y =="""" : 
        print(mystring)
        print(CommonLetters(mystring))
    else:
        flag=False; 
        
    "
14,15,2019-10-17 17:37:36,0.4969669937225174,0.7029,NameError: name 'mystring' is not defined on line 13,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count

x = True
while (x):
    y = input(""Enter String"")
    if y =="""" : 
        print(y)
        print(CommonLetters(mystring))
    else:
        flag=False; 
        
    "
15,16,2019-10-17 17:38:25,0.5036318167561707,0.6958,TimeLimitError: Program exceeded run time limit. on line 11,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count

x = True
while (x):
    mystring = input(""Enter String"")
    if mystring =="""" : 
        print(mystring)
        print(CommonLetters(mystring))
    else:
        flag=False; 
        
    "
16,17,2019-10-17 17:40:35,0.5027947657990867,0.7122,TimeLimitError: Program exceeded run time limit. on line 11,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count

x = True
while (x):
    mystring = input(""Enter String"")
    if mystring =="""" : 
        print(mystring)
        print(CommonLetters(mystring))
        X = False
    #else:
        #flag=False; 
        
    "
17,18,2019-10-17 17:52:46,0.50471207635489,0.7115,success,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count

x = True
while (x):
    mystring = input(""Enter String"")
    if mystring =="""" : 
        print(mystring)
        print(CommonLetters(mystring))
        x = False
    else:
        flag=False; 
        
    "
18,19,2019-10-17 22:41:45,0.3798637623711525,0.4982,success,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count

#x = True
#while (x):
    #mystring = input(""Enter String"")
    #if mystring =="""" : 
        #print(mystring)
        #print(CommonLetters(mystring))
        #x = False
    #else:
        #flag=False; 
        
    "
19,20,2019-10-17 22:43:18,0.3701285691491695,0.514,NameError: name 'mystring' is not defined on line 7,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count
print(CommonLetters(mystring))

#x = True
#while (x):
    #mystring = input(""Enter String"")
    #if mystring =="""" : 
        #print(mystring)
        #print(CommonLetters(mystring))
        #x = False
    #else:
        #flag=False; 
        
    "
20,21,2019-10-17 22:44:48,0.5008502733945177,0.7071,NameError: name 'mystring' is not defined on line 7,"def CommonLetters(mystring):
    count=0 
    for l in mystring: 
        if l in ""Texas"":
            count = count + 1
    return count
print(CommonLetters(mystring))

x = True
while (x):
    mystring = input(""Enter String"")
    if mystring =="""" : 
        print(mystring)
        print(CommonLetters(mystring))
        x = False
    else:
        flag=False; 
        
    "
