,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0129,, 
1,2,2019-11-04 03:42:27,0.758856469493984,0.9329,SyntaxError: bad input on line 13,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = len(line.split())
    for i in range a:
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
2,3,2019-11-04 03:53:42,0.7573897334444033,0.9424,SyntaxError: bad input on line 13,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    word = len(line.split())
    for i in range word:
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
3,4,2019-11-04 03:53:56,0.7509056015878822,0.9374,TypeError: 'int' object is not iterable on line 13,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    word = len(line.split())
    for i in word:
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
4,5,2019-11-04 03:54:50,0.7514938744220853,0.9273,TypeError: 'int' object is not iterable on line 13,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = len(line.split())
    for i in a:
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
5,6,2019-11-04 03:55:05,0.7558157825076183,0.9145,SyntaxError: bad input on line 13,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = len(line.split())
        for i in a:
            if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
        return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
6,7,2019-11-04 03:55:38,0.7683803385159623,0.9452,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    words = line.split()
    for i in range(len(words)):
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].title()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
7,8,2019-11-04 03:56:19,0.7679476994239453,0.939,TypeError: 'int' does not support indexing on line 15,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    words = len(line.split())
    for i in range (words):
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].title()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
8,9,2019-11-04 03:56:46,0.7684732606168412,0.948,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    words = line.split()
    for i in range(len(words)):
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
9,10,2019-11-04 03:57:18,0.7282524112528077,0.9233,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    words = line.split()
    for i in range(len(words)):
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return #' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
10,11,2019-11-04 03:58:27,0.7688375728271184,0.9379,SyntaxError: bad input on line 14,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    words = line.split()
    for i in range(len(words)):
        if i == 0 
            if words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
11,12,2019-11-04 03:58:38,0.7739691414214859,0.94,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    words = line.split()
    for i in range(len(words)):
        if i == 0: 
            if words[i] not in specialWords:
                words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
12,13,2019-11-04 03:59:12,0.7684732606168412,0.948,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    words = line.split()
    for i in range(len(words)):
        if i == 0 or words[i] not in specialWords:
            words[i] = words[i].capitalize()
    return ' '.join(words)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
13,14,2019-11-04 04:00:25,0.7960848161581129,0.9228,TypeError: start must be a integer on line 14,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = line.split()
    b = len(a)
    for i in range(a):
        if i == 0 or a[i] not in specialWords:
            a[i] = a[i].capitalize()
    return ' '.join(a)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
14,15,2019-11-04 04:00:38,0.7956740963583866,0.9287,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = line.split()
    b = len(a)
    for i in range(b):
        if i == 0 or a[i] not in specialWords:
            a[i] = a[i].capitalize()
    return ' '.join(a)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
15,16,2019-11-04 04:05:25,0.8047405008524018,0.9167,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = line.split()
    b = len(a)
    for i in range(b):
        if i == 0:
            if a[i] not in specialWords:
                a[i] = a[i].capitalize()
        return ' '.join(a)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
16,17,2019-11-04 04:05:40,0.8046891930420816,0.9021,SyntaxError: bad input on line 17,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = line.split()
    b = len(a)
    for i in range(b):
        if i == 0:
            if a[i] not in specialWords:
        a[i] = a[i].capitalize()
    return ' '.join(a)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
17,18,2019-11-04 04:07:53,0.8052388470665068,0.9053,SyntaxError: bad input on line 16,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = line.split()
    b = len(a)
    for i in range(b):
        if i == 0:
        if a[i] not in specialWords:
            a[i] = a[i].capitalize()
    return ' '.join(a)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
18,19,2019-11-04 04:08:55,0.8876756035628451,0.9547,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = line.split()
    b = len(a)
    for i in range(b):
        if i == 0:
            a[i] = a[i].capitalize()
        if a[i] not in specialWords:
            a[i] = a[i].capitalize()
    return ' '.join(a)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
19,20,2019-11-04 04:09:15,0.8403262684632077,0.9325,success,"
import string

# the list of special words - you can use this as a global variable
# within your function
specialWords = ['a', 'an', 'the', 'at', 'by', 'for', 'in',
           'of', 'on', 'to', 'up', 'and', 'as',
           'but', 'or', 'nor']

# define the capTitle() function here
def capTitle(line):
    a = line.split()
    b = len(a)
    for i in range(b):
        if i == 0:
            a[i] = a[i].capitalize()
        if a[i] not in specialWords:
            a[i] = a[i].capitalize()
    #return ' '.join(a)
    


# DO NOT CHANGE CODE BELOW

print(capTitle(input(""Enter title: "")))

"
