,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0004,, 
1,2,2019-03-31 22:48:01,0.5241868054506102,0.6844,SyntaxError: bad input on line 3,"

Write a function ``print_triangular_numbers(n)`` that prints out the first
n triangular numbers. A call to ``print_triangular_numbers(5)`` would
produce the following output::

    1       1
    2       3
    3       6
    4       10
    5       15

(*hint: use a web search to find out what a triangular number is.*)
~~~~
def print_triangular_numbers(n):
    print(""1 	 2"")
"
2,3,2019-03-31 22:49:00,0.5241868054506102,0.6844,success,"def print_triangular_numbers(n):
    print(""1 	 2"")
"
3,4,2019-03-31 22:49:18,0.6694611961255259,0.8253,NameError: name 'triangular_numbers' is not defined on line 4,"def print_triangular_numbers(n):
    print(""1 	 2"")

print(triangular_numbers(5))"
4,5,2019-03-31 22:49:25,0.6467863707316299,0.8817,success,"def print_triangular_numbers(n):
    print(""1 	 2"")

print(print_triangular_numbers(5))"
5,6,2019-03-31 22:49:47,0.6940337718163481,0.9135,success,"def print_triangular_numbers(n):
    for i in range(n):
        print(""1 	 2"")

print(print_triangular_numbers(5))"
6,7,2019-03-31 22:50:24,0.787376192167308,0.8357,SyntaxError: bad input on line 4,"def print_triangular_numbers(n):
    triangle_num = 5
    for i in range(n):
        print(f""{n}	{triangle_num}"")

print(print_triangular_numbers(5))"
7,8,2019-03-31 22:51:02,0.7207074541169817,0.7511,NameError: name 'num' is not defined on line 4,"def print_triangular_numbers(n):
    triangle_num = 5
    for i in range(n):
        print(str(num) + ""/t"" + str(triangle_num))

print(print_triangular_numbers(5))"
8,9,2019-03-31 22:51:07,0.7591956632009542,0.726,success,"def print_triangular_numbers(n):
    triangle_num = 5
    for i in range(n):
        print(str(n) + ""/t"" + str(triangle_num))

print(print_triangular_numbers(5))"
9,10,2019-03-31 22:51:13,0.8249928052991552,0.8733,success,"def print_triangular_numbers(n):
    triangle_num = 5
    for i in range(n):
        print(str(n) + ""	"" + str(triangle_num))

print(print_triangular_numbers(5))"
10,11,2019-03-31 22:51:21,0.8290847119103116,0.888,success,"def print_triangular_numbers(n):
    triangle_num = 5
    for i in range(n):
        print(str(i) + ""	"" + str(triangle_num))

print(print_triangular_numbers(5))"
