,snapshot,timestamp,real_progress,reg_est_prog,feedback_text,code
0,1,,0.0,0.0492,, 
1,2,2020-09-17 19:38:01,0.5107414159228326,0.6567,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(10):
    ck.forward(50)
    ck.stamp()
    ck.forward(-50)
    ck.right(36)
"
2,3,2020-09-17 19:43:44,0.5109826224242253,0.6581,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(10):
    ck.forward(50)
    ck.stamp()
    ck.forward(-50)
    ck.right(40)
"
3,4,2020-09-17 19:44:14,0.5105722977856729,0.6577,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(12):
    ck.forward(50)
    ck.stamp()
    ck.forward(-50)
    ck.right(40)
"
4,5,2020-09-17 19:45:01,0.5073944755441037,0.6475,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(12):
    ck.forward(60)
    ck.stamp()
    ck.forward(-60)
    ck.right(36)
"
5,6,2020-09-17 19:45:32,0.5092084469829492,0.6438,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(12):
    ck.forward(100)
    ck.stamp()
    ck.forward(-100)
    ck.right(36)
"
6,7,2020-09-17 19:46:22,0.5112220415857471,0.6485,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(12):
    ck.forward(100)
    ck.stamp()
    ck.forward(-100)
    ck.right(50)
"
7,8,2020-09-17 19:47:09,0.5100764334455492,0.6475,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(10):
    ck.forward(100)
    ck.stamp()
    ck.forward(-100)
    ck.right(30)
"
8,9,2020-09-17 19:47:28,0.5097116701463591,0.6438,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.penup()
for size in range(12):
    ck.forward(100)
    ck.stamp()
    ck.forward(-100)
    ck.right(30)
"
9,10,2020-09-19 00:47:02,0.5561045010292971,0.6844,success,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.stamp()
ck.penup()
for size in range(12):
    ck.forward(100)
    ck.stamp()
    ck.forward(-100)
    ck.right(30)
"
10,11,2020-09-19 21:57:45,0.5496541766252532,0.6722,AttributeError: 'Turtle' object has no attribute 'pen' on line 8,"#a program to draw a face of a clock.

import turtle
wn = turtle.Screen()
ck = turtle.Turtle()
ck.shape(""turtle"")
ck.stamp()
ck.pen()
for size in range(12):
    ck.forward(100)
    ck.stamp()
    ck.forward(-100)
    ck.right(30)
"
